company,ats,endpoint,open_jobs,waas_slug
Hebbia,ashby,https://api.ashbyhq.com/posting-api/job-board/hebbia-ai,26,
Norm AI,workable,https://apply.workable.com/api/v1/widget/accounts/norm,0,
Harvey,ashby,https://api.ashbyhq.com/posting-api/job-board/harvey,341,
Robin AI,workable,https://apply.workable.com/api/v1/widget/accounts/robin,0,
Legora,ashby,https://api.ashbyhq.com/posting-api/job-board/legora,244,
DraftWise,NOT FOUND,,0,draftwise
Patlytics,ashby,https://api.ashbyhq.com/posting-api/job-board/patlytics,12,
Greenboard,ashby,https://api.ashbyhq.com/posting-api/job-board/greenboard,3,
Adaptive Security,ashby,https://api.ashbyhq.com/posting-api/job-board/adaptivesecurity,13,
Rogo,ashby,https://api.ashbyhq.com/posting-api/job-board/rogo,63,
AlphaSense,greenhouse,https://boards-api.greenhouse.io/v1/boards/alphasense/jobs,213,
Concourse,ashby,https://api.ashbyhq.com/posting-api/job-board/concourse,9,
Basis,ashby,https://api.ashbyhq.com/posting-api/job-board/basis-ai,38,
Auquan,NOT FOUND,,0,
VectorShift,NOT FOUND,,0,vectorshift
Trata,gem,https://jobs.gem.com/trata,1,
Enigma,workable,https://apply.workable.com/api/v1/widget/accounts/enigma,0,
Socure,ashby,https://api.ashbyhq.com/posting-api/job-board/socure,91,
Tennr,ashby,https://api.ashbyhq.com/posting-api/job-board/tennr,24,
Anterior,ashby,https://api.ashbyhq.com/posting-api/job-board/anterior,2,
SmarterDx,greenhouse,https://boards-api.greenhouse.io/v1/boards/smarterdx/jobs,8,
EliseAI,ashby,https://api.ashbyhq.com/posting-api/job-board/eliseai,97,
Prosper AI,lever,https://api.lever.co/v0/postings/prosper?mode=json,14,
Crosby Health,NOT FOUND,,0,
Claim Health,ashby,https://api.ashbyhq.com/posting-api/job-board/claim-health,6,
Understood Care,greenhouse,https://boards-api.greenhouse.io/v1/boards/understoodcare/jobs,4,
Raycaster,NOT FOUND,,0,raycaster
Parachute,workable,https://apply.workable.com/api/v1/widget/accounts/parachute,0,
Kalepa,greenhouse,https://boards-api.greenhouse.io/v1/boards/kalepa/jobs,24,
Sixfold,greenhouse,https://boards-api.greenhouse.io/v1/boards/sixfold/jobs,3,
Roots Automation,ashby,https://api.ashbyhq.com/posting-api/job-board/roots-automation,1,
Acolite,NOT FOUND,,0,acolite
Sierra,ashby,https://api.ashbyhq.com/posting-api/job-board/sierra,157,
Decagon,ashby,https://api.ashbyhq.com/posting-api/job-board/decagon,113,
Regal,workable,https://apply.workable.com/api/v1/widget/accounts/regal,0,
Kustomer,ashby,https://api.ashbyhq.com/posting-api/job-board/kustomer,7,
Siena AI,ashby,https://api.ashbyhq.com/posting-api/job-board/siena,14,
Parloa,greenhouse,https://boards-api.greenhouse.io/v1/boards/parloa/jobs,54,
Clay,workable,https://apply.workable.com/api/v1/widget/accounts/clay,0,
Attention,ashby,https://api.ashbyhq.com/posting-api/job-board/attention,3,
Agentio,ashby,https://api.ashbyhq.com/posting-api/job-board/agentio,17,
Fiber AI,workable,https://apply.workable.com/api/v1/widget/accounts/fiber,0,
Topline Pro,ashby,https://api.ashbyhq.com/posting-api/job-board/topline-pro,13,
Trunk Tools,ashby,https://api.ashbyhq.com/posting-api/job-board/Trunk%20Tools,5,
Structured AI,NOT FOUND,,0,structured-ai
Podium Automation,ashby,https://api.ashbyhq.com/posting-api/job-board/podium-automation,6,
Probook,ashby,https://api.ashbyhq.com/posting-api/job-board/probook,14,
Rebar,ashby,https://api.ashbyhq.com/posting-api/job-board/rebar,10,
Trayd,gem,https://jobs.gem.com/buildtrayd-com,6,
Banner,NOT FOUND,,0,banner
Brickanta,NOT FOUND,,0,brickanta
Augury,greenhouse,https://boards-api.greenhouse.io/v1/boards/augury/jobs,25,
Runwise,greenhouse,https://boards-api.greenhouse.io/v1/boards/runwise/jobs,5,
BlocPower,NOT FOUND,,0,
David Energy,ashby,https://api.ashbyhq.com/posting-api/job-board/davidenergy,4,
FlexDesk,NOT FOUND,,0,flexdesk
Keyway,NOT FOUND,,0,
Cherre,lever,https://api.lever.co/v0/postings/cherre?mode=json,3,
CompStak,lever,https://api.lever.co/v0/postings/compstak?mode=json,4,
Northspyre,greenhouse,https://boards-api.greenhouse.io/v1/boards/northspyre/jobs,9,
Bowery Valuation,rippling,https://api.rippling.com/platform/api/ats/v1/board/bowery-valuation/jobs,2,
Lev,workable,https://apply.workable.com/api/v1/widget/accounts/lev,0,
Propaya,NOT FOUND,,0,
Paces,gem,https://jobs.gem.com/paces,13,
Starbridge,ashby,https://api.ashbyhq.com/posting-api/job-board/starbridge,8,
GovDash,ashby,https://api.ashbyhq.com/posting-api/job-board/govdash,5,
GovWell,ashby,https://api.ashbyhq.com/posting-api/job-board/govwell,13,
Polimorphic,NOT FOUND,,0,
Mark43,greenhouse,https://boards-api.greenhouse.io/v1/boards/mark43/jobs,38,
Civic Roundtable,ashby,https://api.ashbyhq.com/posting-api/job-board/Civic%20Roundtable,0,
Propel,ashby,https://api.ashbyhq.com/posting-api/job-board/propel,8,
Hazel,ashby,https://api.ashbyhq.com/posting-api/job-board/hazel,3,
Scout,ashby,https://api.ashbyhq.com/posting-api/job-board/scout,0,
Amplify,ashby,https://api.ashbyhq.com/posting-api/job-board/amplify,33,
Newsela,greenhouse,https://boards-api.greenhouse.io/v1/boards/newsela/jobs,18,
Kira Learning,NOT FOUND,,0,
OpenAI,ashby,https://api.ashbyhq.com/posting-api/job-board/openai,712,
Anthropic,greenhouse,https://boards-api.greenhouse.io/v1/boards/anthropic/jobs,415,
